                   -         AGN  59376.765    0.22 0.01   0.021 0.015   0.055 0.015
                   -         AGN  59378.801    0.20 0.01   0.009 0.015  -0.028 0.015
           AT2018luq         AGN  58955.076   -0.10 0.12  -0.063 0.015  -0.087 0.056
           AT2018luq         AGN  59364.830    0.20 0.05  -0.028 0.022   0.028 0.024
           SN2020mcc       SN Ia  59043.545    0.10 0.06   0.094 0.017  -0.004 0.034
           SN2020mcc       SN Ia  59068.688    0.86 0.03  -0.071 0.021   0.066 0.017
           SN2022fus       SN Ia  59678.501   -0.26 0.04  -0.025 0.016   0.026 0.024
           SN2022fus       SN Ia  59693.980   -0.09 0.03  -0.007 0.020   0.228 0.015
           SN2022fus       SN Ia  59696.560    0.01 0.04   0.110 0.020  -0.032 0.021
           AT2018cce         AGN  59312.855    0.49 0.03  -0.050 0.018  -0.166 0.017
           AT2018cce         AGN  59321.755    0.38 0.02   0.030 0.016  -0.005 0.016
           AT2018cce         AGN  59323.802    0.43 0.02  -0.029 0.015  -0.074 0.017
           AT2018llj         AGN  59454.704   -0.22 0.01  -0.020 0.015   0.036 0.015
           AT2018llj         AGN  59459.718   -0.28 0.01   0.053 0.015   0.022 0.015
           AT2018llj         AGN  59640.963   -0.27 0.01   0.018 0.015  -0.102 0.015
           AT2018dyj         AGN  58974.937    0.11 0.02   0.060 0.015   0.008 0.017
           AT2018dyj         AGN  58979.672    0.05 0.04   0.088 0.025  -0.120 0.015
           AT2018dyj         AGN  58991.828    0.24 0.02  -0.015 0.017  -0.003 0.015
           AT2018dyj         AGN  58998.851    0.09 0.04   0.010 0.017  -0.058 0.025
           AT2018dyj         AGN  59008.989    0.19 0.04   0.005 0.023  -0.037 0.016
           AT2019agf         AGN  58349.612   -0.14 0.04  -0.033 0.018  -0.052 0.021
           AT2019agf         AGN  58669.748    0.70 0.01  -0.002 0.015   0.058 0.015
           AT2019agf         AGN  58674.942    0.46 0.03  -0.103 0.022  -0.113 0.015
           AT2019agf         AGN  59361.952    0.13 0.02   0.010 0.016   0.001 0.018
           AT2019agf         AGN  59364.848    0.13 0.01   0.015 0.015   0.028 0.016
           AT2019agf         AGN  59366.727    0.12 0.01   0.021 0.015   0.032 0.016
           AT2019agf         AGN  59368.706    0.11 0.01  -0.007 0.015  -0.011 0.015
